file_id,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,responses,stimulus,button_pressed,image,key_press
data_2024-11-12-17-41-56_m399oid8t7,"[{""page_index"":0,""viewing_time"":893.6999999880791}]",894,instructions,0,895,0.0-0.0-0.0,NA,NA,NA,NA,NA
data_2024-11-12-17-41-56_m399oid8t7,NA,909.6999999880792,survey-text,1,2814,0.0-0.0-1.0-0.0,"{""Participant ID"":""100""}",NA,NA,NA,NA
data_2024-11-12-17-41-56_m399oid8t7,"[{""page_index"":0,""viewing_time"":1648.800000011921}]",1648.9000000357628,instructions,2,4463,0.0-0.0-2.0,NA,NA,NA,NA,NA
data_2024-11-12-17-41-56_m399oid8t7,NA,2574.899999976158,audio-button-response,3,8048,0.0-0.0-3.0-0.0,NA,resource/audio/Dog_speaker3US.mp3,2,"Asian Woman,Black Woman,Middle Eastern Woman,White Woman,Latina Woman",NA
data_2024-11-12-17-41-56_m399oid8t7,NA,758.1000000238419,audio-button-response,4,9808,0.0-0.0-3.0-1.0,NA,resource/audio/blank.mp3,0,NA,NA
data_2024-11-12-17-41-56_m399oid8t7,NA,392.800000011921,audio-button-response,5,10710,0.0-0.0-3.0-2.0,NA,resource/audio/Orange_speaker4US.mp3,2,"White Woman,Black Woman,Latina Woman,Asian Woman,Middle Eastern Woman",NA
data_2024-11-12-17-41-56_m399oid8t7,NA,392.5,audio-button-response,6,12104,0.0-0.0-3.0-3.0,NA,resource/audio/blank.mp3,0,NA,NA
data_2024-11-12-17-41-56_m399oid8t7,NA,368.60000002384186,audio-button-response,7,12975,0.0-0.0-3.0-4.0,NA,resource/audio/Volleyball_speaker3HU.mp3,2,"Black Woman,Middle Eastern Woman,White Woman,Asian Woman,Latina Woman",NA
data_2024-11-12-17-41-56_m399oid8t7,NA,340.10000002384186,audio-button-response,8,14328,0.0-0.0-3.0-5.0,NA,resource/audio/blank.mp3,0,NA,NA
data_2024-11-12-17-41-56_m399oid8t7,NA,366.7999999523163,audio-button-response,9,15202,0.0-0.0-3.0-6.0,NA,resource/audio/Sibling_speaker3HU.mp3,2,"Middle Eastern Woman,Latina Woman,Asian Woman,Black Woman,White Woman",NA
data_2024-11-12-17-41-56_m399oid8t7,NA,335.5,audio-button-response,10,16539,0.0-0.0-3.0-7.0,NA,resource/audio/blank.mp3,0,NA,NA
data_2024-11-12-17-41-56_m399oid8t7,NA,470.300000011921,audio-button-response,11,17511,0.0-0.0-3.0-8.0,NA,resource/audio/Park_speaker1US.mp3,2,"Asian Woman,Middle Eastern Woman,White Woman,Black Woman,Latina Woman",NA
data_2024-11-12-17-41-56_m399oid8t7,NA,464,audio-button-response,12,18981,0.0-0.0-3.0-9.0,NA,resource/audio/blank.mp3,0,NA,NA
data_2024-11-12-17-41-56_m399oid8t7,NA,347.7000000476837,audio-button-response,13,19831,0.0-0.0-3.0-10.0,NA,resource/audio/Icecream_speaker2US.mp3,2,"Middle Eastern Woman,White Woman,Latina Woman,Asian Woman,Black Woman",NA
data_2024-11-12-17-41-56_m399oid8t7,NA,342.2000000476837,audio-button-response,14,21175,0.0-0.0-3.0-11.0,NA,resource/audio/blank.mp3,0,NA,NA
data_2024-11-12-17-41-56_m399oid8t7,NA,402.9000000357628,audio-button-response,15,22081,0.0-0.0-3.0-12.0,NA,resource/audio/Cat_speaker4US.mp3,2,"Asian Woman,White Woman,Latina Woman,Black Woman,Middle Eastern Woman",NA
data_2024-11-12-17-41-56_m399oid8t7,NA,525.1999999880791,audio-button-response,16,23609,0.0-0.0-3.0-13.0,NA,resource/audio/blank.mp3,0,NA,NA
data_2024-11-12-17-41-56_m399oid8t7,NA,378.10000002384186,audio-button-response,17,24488,0.0-0.0-3.0-14.0,NA,resource/audio/Movies_speaker2US.mp3,2,"Asian Woman,Middle Eastern Woman,White Woman,Latina Woman,Black Woman",NA
data_2024-11-12-17-41-56_m399oid8t7,NA,414.89999997615814,audio-button-response,18,25911,0.0-0.0-3.0-15.0,NA,resource/audio/blank.mp3,0,NA,NA
data_2024-11-12-17-41-56_m399oid8t7,NA,335,audio-button-response,19,26751,0.0-0.0-3.0-16.0,NA,resource/audio/Tiger_speaker5HU.mp3,2,"White Woman,Black Woman,Latina Woman,Asian Woman,Middle Eastern Woman",NA
data_2024-11-12-17-41-56_m399oid8t7,NA,391.300000011921,audio-button-response,20,28155,0.0-0.0-3.0-17.0,NA,resource/audio/blank.mp3,0,NA,NA
data_2024-11-12-17-41-56_m399oid8t7,NA,312.89999997615814,audio-button-response,21,29471,0.0-0.0-3.0-18.0,NA,resource/audio/Music_speaker4HU.mp3,2,"Black Woman,Asian Woman,White Woman,Middle Eastern Woman,Latina Woman",NA
data_2024-11-12-17-41-56_m399oid8t7,"[{""page_index"":0,""viewing_time"":494.80000001192093}]",494.800000011921,instructions,22,30968,0.0-0.0-4.0,NA,NA,NA,NA,NA
data_2024-11-12-17-41-56_m399oid8t7,NA,522.1999999880791,html-button-response,23,32496,0.0-0.0-5.0-0.0,NA,Who do you like the most?,2,NA,NA
data_2024-11-12-17-41-56_m399oid8t7,NA,406.300000011921,html-button-response,24,33903,0.0-0.0-5.0-1.0,NA,Who is the friendliest?,2,NA,NA
data_2024-11-12-17-41-56_m399oid8t7,NA,351,html-button-response,25,35255,0.0-0.0-5.0-2.0,NA,Who is the smartest?,2,NA,NA
data_2024-11-12-17-41-56_m399oid8t7,NA,129.70000004768372,html-button-response,26,36393,0.0-0.0-5.0-3.0,NA,Who do you trust the most?,2,NA,NA
data_2024-11-12-17-41-56_m399oid8t7,NA,1146,html-keyboard-response,27,38545,0.0-0.0-6.0,NA,All done! Press any key to finish,NA,NA,32
