file_id,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,responses,stimulus,button_pressed,image,speaker,subject,accent,key_press
data_2024-11-12-21-48-34_a3tmbv2ubm,"[{""page_index"":0,""viewing_time"":1458.199999988079}]",1458.399999976158,instructions,0,1460,0.0-0.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA
data_2024-11-12-21-48-34_a3tmbv2ubm,NA,4133.199999988079,survey-text,1,6598,0.0-0.0-1.0-0.0,"{""Participant ID"":""test""}",NA,NA,NA,NA,NA,NA,NA
data_2024-11-12-21-48-34_a3tmbv2ubm,"[{""page_index"":0,""viewing_time"":1190.5}]",1190.600000023842,instructions,2,7789,0.0-0.0-2.0,NA,NA,NA,NA,NA,NA,NA,NA
data_2024-11-12-21-48-34_a3tmbv2ubm,NA,374.5,audio-button-response,3,9166,0.0-0.0-3.0-0.0,NA,resource/audio/Icecream_speaker1US.mp3,2,"Middle Eastern Woman,Asian Woman,Latina Woman,Black Woman,White Woman",speaker1US.mp3,Icecream,p3,NA
data_2024-11-12-21-48-34_a3tmbv2ubm,NA,813.1999999880791,audio-button-response,4,10981,0.0-0.0-3.0-1.0,NA,resource/audio/blank.mp3,0,NA,NA,NA,NA,NA
data_2024-11-12-21-48-34_a3tmbv2ubm,NA,255.9000000357628,audio-button-response,5,11739,0.0-0.0-3.0-2.0,NA,resource/audio/Tiger_speaker3US.mp3,2,"Middle Eastern Woman,Latina Woman,Black Woman,White Woman,Asian Woman",speaker3US.mp3,Tiger,p3,NA
data_2024-11-12-21-48-34_a3tmbv2ubm,NA,328.30000001192093,audio-button-response,6,13070,0.0-0.0-3.0-3.0,NA,resource/audio/blank.mp3,0,NA,NA,NA,NA,NA
data_2024-11-12-21-48-34_a3tmbv2ubm,NA,217.89999997615817,audio-button-response,7,13790,0.0-0.0-3.0-4.0,NA,resource/audio/Park_speaker4US.mp3,2,"Black Woman,Asian Woman,Middle Eastern Woman,Latina Woman,White Woman",speaker4US.mp3,Park,p3,NA
data_2024-11-12-21-48-34_a3tmbv2ubm,NA,189.89999997615817,audio-button-response,8,14981,0.0-0.0-3.0-5.0,NA,resource/audio/blank.mp3,0,NA,NA,NA,NA,NA
data_2024-11-12-21-48-34_a3tmbv2ubm,NA,465.39999997615814,audio-button-response,9,15950,0.0-0.0-3.0-6.0,NA,resource/audio/Sibling_speaker2US.mp3,2,"Latina Woman,White Woman,Black Woman,Asian Woman,Middle Eastern Woman",speaker2US.mp3,Sibling,p3,NA
data_2024-11-12-21-48-34_a3tmbv2ubm,NA,449.4000000357628,audio-button-response,10,17401,0.0-0.0-3.0-7.0,NA,resource/audio/blank.mp3,0,NA,NA,NA,NA,NA
data_2024-11-12-21-48-34_a3tmbv2ubm,NA,175,audio-button-response,11,18078,0.0-0.0-3.0-8.0,NA,resource/audio/Volleyball_speaker4US.mp3,2,"Latina Woman,White Woman,Asian Woman,Black Woman,Middle Eastern Woman",speaker4US.mp3,Volleyball,p3,NA
data_2024-11-12-21-48-34_a3tmbv2ubm,NA,551.1000000238419,audio-button-response,12,19631,0.0-0.0-3.0-9.0,NA,resource/audio/blank.mp3,0,NA,NA,NA,NA,NA
