file_id,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,responses,stimulus,button_pressed,image,speaker,subject,accent,key_press
data_2025-02-18-22-39-36_mb522gkjg8,"[{""page_index"":0,""viewing_time"":16070}]",16070.20000000298,instructions,0,16072,0.0-0.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA
data_2025-02-18-22-39-36_mb522gkjg8,NA,3478,survey-text,1,20569,0.0-0.0-1.0-0.0,"{""Participant ID"":""test""}",NA,NA,NA,NA,NA,NA,NA
data_2025-02-18-22-39-36_mb522gkjg8,"[{""page_index"":0,""viewing_time"":1014}]",1014.2000000029802,instructions,2,21584,0.0-0.0-2.0,NA,NA,NA,NA,NA,NA,NA,NA
data_2025-02-18-22-39-36_mb522gkjg8,NA,492.6000000014901,audio-button-response,3,23081,0.0-0.0-3.0-0.0,NA,resource/audio/Dog_speaker1HU.mp3,2,"Asian Woman,Latina Woman,White Woman,Black Woman,Middle Eastern Woman",speaker1HU,Dog,HU,NA
data_2025-02-18-22-39-36_mb522gkjg8,NA,639,audio-button-response,4,24736,0.0-0.0-3.0-1.0,NA,resource/audio/blank.mp3,0,NA,NA,NA,NA,NA
data_2025-02-18-22-39-36_mb522gkjg8,NA,380.5,audio-button-response,5,25618,0.0-0.0-3.0-2.0,NA,resource/audio/Music_speaker1US.mp3,1,"Black Woman,White Woman,Latina Woman,Middle Eastern Woman,Asian Woman",speaker1US,Music,US,NA
data_2025-02-18-22-39-36_mb522gkjg8,NA,489.29999999701977,audio-button-response,6,27121,0.0-0.0-3.0-3.0,NA,resource/audio/blank.mp3,0,NA,NA,NA,NA,NA
data_2025-02-18-22-39-36_mb522gkjg8,NA,306.1000000014901,audio-button-response,7,27931,0.0-0.0-3.0-4.0,NA,resource/audio/Cat_speaker5HU.mp3,3,"White Woman,Middle Eastern Woman,Asian Woman,Black Woman,Latina Woman",speaker5HU,Cat,HU,NA
data_2025-02-18-22-39-36_mb522gkjg8,NA,491.1000000014901,audio-button-response,8,29434,0.0-0.0-3.0-5.0,NA,resource/audio/blank.mp3,0,NA,NA,NA,NA,NA
data_2025-02-18-22-39-36_mb522gkjg8,NA,267.8999999985099,audio-button-response,9,30209,0.0-0.0-3.0-6.0,NA,resource/audio/Park_speaker4HU.mp3,2,"Middle Eastern Woman,Black Woman,White Woman,Asian Woman,Latina Woman",speaker4HU,Park,HU,NA
